af,Afrikaans,Afrikaans
am,Amharic,አማርኛ
ar,Arabic,العربية
as,Assamese,অসমীয়া
az,Azerbaijani,azərbaycan
be,Belarusian,беларуская
bg,Bulgarian,български
bn,Bangla,বাংলা
bs,Bosnian,bosanski
ca,Catalan,català
cs,Czech,Čeština
da,Danish,Dansk
de,German,Deutsch
el,Greek,Ελληνικά
en,English,English
en-GB,English (United Kingdom),English (United Kingdom)
en-IN,English (India),English (India)
es,Spanish,Español
es-419,Spanish (Latin America),Español (Latinoamérica)
es-US,Spanish (United States),Español (Estados Unidos)
et,Estonian,eesti
eu,Basque,euskara
fa,Persian,فارسی
fi,Finnish,Suomi
fil,Filipino,Filipino
fr,French,Français
fr-CA,French (Canada),Français (Canada)
gl,Galician,galego
gu,Gujarati,ગુજરાતી
hi,Hindi,हिन्दी
hr,Croatian,Hrvatski
hu,Hungarian,magyar
hy,Armenian,հայերեն
id,Indonesian,Indonesia
is,Icelandic,íslenska
it,Italian,Italiano
iw,Hebrew,עברית
ja,Japanese,日本語
ka,Georgian,ქართული
kk,Kazakh,қазақ тілі
km,Khmer,ខ្មែរ
kn,Kannada,ಕನ್ನಡ
ko,Korean,한국어
ky,Kyrgyz,кыргызча
lo,Lao,ລາວ
lt,Lithuanian,lietuvių
lv,Latvian,latviešu
mk,Macedonian,македонски
ml,Malayalam,മലയാളം
mn,Mongolian,монгол
mr,Marathi,मराठी
ms,Malay,Melayu
my,Burmese,မြန်မာ
ne,Nepali,नेपाली
nl,Dutch,Nederlands
no,Norwegian,norsk
or,Odia,ଓଡ଼ିଆ
pa,Punjabi,ਪੰਜਾਬੀ
pl,Polish,polski
pt,Portuguese,Português
pt-PT,Portuguese (Portugal),Português (Portugal)
ro,Romanian,română
ru,Russian,Русский
si,Sinhala,සිංහල
sk,Slovak,Slovenčina
sl,Slovenian,slovenščina
sq,Albanian,shqip
sr,Serbian,српски
sr-Latn,Serbian (Latin),srpski (latinica)
sv,Swedish,Svenska
sw,Swahili,Kiswahili
ta,Tamil,தமிழ்
te,Telugu,తెలుగు
th,Thai,ไทย
tr,Turkish,Türkçe
uk,Ukrainian,Українська
ur,Urdu,اردو
uz,Uzbek,o‘zbek
vi,Vietnamese,Tiếng Việt
zh-CN,Chinese (China),中文（中国）
zh-HK,Chinese (Hong Kong),中文（香港）
zh-TW,Chinese (Taiwan),中文（台灣）
zu,Zulu,isiZulu
